StdEsReturn,AverageDiscountedReturn,AverageAction,MinReturn,AverageY,Epoch,MinEsReturn,AverageEsReturn,AverageQLoss,StdForwardProgress,AveragePolicySurr,AverageAbsQYDiff,AverageAbsQ,MaxReturn,AverageQ,PolicyRegParamNorm,AverageForwardProgress,MaxForwardProgress,QFunRegParamNorm,StdReturn,MaxEsReturn,AverageAbsY,AverageReturn,MinForwardProgress
0.0,0.0,0.9977175155754165,0.0,-0.04046980014678128,10,0.0,0.0,2.856021357464273e-05,0.0,0.04017160366455265,0.0009367262022191967,0.04054358811299489,0.0,-0.040456307010592434,26.45607271909229,0.0,0.0,7.993435126302033,0.0,0.0,0.04046980014678128,0.0,0.0
0.0,0.0,0.9977190785980464,0.0,-0.03971720810495222,11,0.0,0.0,2.0036517135165003e-15,0.0,0.03971680752467864,3.512745050540114e-08,0.0397172279407251,0.0,-0.0397172279407251,26.45607514441001,0.0,0.0,7.993429768027761,0.0,0.0,0.03971720810495222,0.0,0.0
0.0,0.0,0.9973970826617006,0.0,-0.03934013480338685,12,0.0,0.0,6.003872348289379e-07,0.0,0.03933430787654968,0.00014491167078868134,0.03933988037580814,0.0,-0.03933988037580814,26.456965179952828,0.0,0.0,7.985140452407639,0.0,0.0,0.03934013480338685,0.0,0.0
0.0,0.0,0.9964859397607431,0.0,-0.03910185642907759,13,0.0,0.0,4.696405168318497e-07,0.0,0.03909878552757434,0.00018980625432585862,0.0391015452146889,0.0,-0.0391015452146889,26.457889284555385,0.0,0.0,7.975899803260932,0.0,0.0,0.03910185642907759,0.0,0.0
0.0,0.0,0.9990197962888223,0.0,-0.039141331271436,14,0.0,0.0,2.863630465492175e-07,0.0,0.03914861103753144,0.00019396906837281912,0.03914104185417182,0.0,-0.03914104185417182,26.45825484863463,0.0,0.0,7.96826282265002,0.0,0.0,0.039141331271436,0.0,0.0
0.0,0.0,0.9998653450194152,0.0,-0.039504570953380364,15,0.0,0.0,1.8244850774508923e-07,0.0,0.03949508398031116,0.00019101468261325372,0.039504179957097325,0.0,-0.039504179957097325,26.46187327597584,0.0,0.0,7.962078239473998,0.0,0.0,0.039504570953380364,0.0,0.0
0.0,0.0,0.9998941157917633,0.0,-0.04017952281016058,16,0.0,0.0,1.335962753377667e-07,0.0,0.04017135789667745,0.00015363197926756598,0.04017904792999321,0.0,-0.04017904792999321,26.462048439765574,0.0,0.0,7.9570069794045155,0.0,0.0,0.04017952281016058,0.0,0.0
0.0,0.0,0.9998167697778964,0.0,-0.04085071837715628,17,0.0,0.0,1.0478664573637089e-07,0.0,0.04084045269595651,0.0001675841914816351,0.0408504659156133,0.0,-0.0408504659156133,26.446611569946818,0.0,0.0,7.952971522533501,0.0,0.0,0.04085071837715628,0.0,0.0
0.0,0.0,0.9996693673408565,0.0,-0.041297361397077355,18,0.0,0.0,7.518789418507634e-08,0.0,0.041293989047486185,0.000112919430195496,0.04129657634251992,0.0,-0.04129657634251992,26.44473887864105,0.0,0.0,7.950023523936431,0.0,0.0,0.041297361397077355,0.0,0.0
0.0,0.0,0.9998300117584991,0.0,-0.04137307682959521,19,0.0,0.0,6.4087824713694e-08,0.0,0.041365528130547884,0.00014457382110988446,0.041372636228467784,0.0,-0.041372636228467784,26.446822913065922,0.0,0.0,7.947982812900965,0.0,0.0,0.04137307682959521,0.0,0.0
